,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,logg,[Fe/H],Radius,mass,rho,Distance,E(B-V)
2607,2607,2607,2607,2607,2607,248422242,10 40 05.311,+00 26 06.99,1,15.055,,,453-050849,10400530+0026070,2141-301-5-0116-0070,STAR,gri,-75.3,3.4,-3.2,3.8,,,16.786,0.02,15.585,0.055,,,16.204,0.05,15.096,0.04,14.562,0.01,,,13.079,0.026,12.471,0.027,12.348,0.029,4084,4.859,-0.323,0.41,0.474,6.192,197.3,0.025
2608,2608,2608,2608,2608,2608,248422254,10 47 25.338,+00 26 08.37,1,17.048,,,,10472533+0026083,2141-301-5-0129-0145,STAR,gri,-13,3,-8,3,,,,,,,20.803,0.073,18.171,0.007,17.06,0.005,16.567,0.005,16.289,0.008,15.177,0.043,14.599,0.039,14.324,0.086,4244,4.832,-0.493,0.43,0.5,5.359,574.8,0.03
2609,2609,2609,2609,2609,2609,248422275,10 49 39.314,+00 26 11.17,1,18.025,,,,10493931+0026111,,STAR,J,,,,,,,,,,,,,,,,,,,,,16.488,0.159,15.814,0.162,,,,,,,,,,
2610,2610,2610,2610,2610,2610,248422299,10 49 40.039,+00 26 15.15,1,16.575,,,,10494003+0026151,,EXTENDED,J,,,,,,,,,,,,,,,,,,,,,15.143,0.09,14.495,0.086,13.828,0.085,,,,,,,,
2611,2611,2611,2611,2611,2611,248422301,10 41 07.735,+00 26 15.75,1,18.082,,,,10410773+0026157,2141-301-5-0118-0231,EXTENDED,gri,-4,3,7,3,,,,,,,21.27,0.162,19.231,0.015,18.074,0.008,17.589,0.009,17.248,0.02,16.285,0.132,15.542,0.114,15.046,0.165,,,,,,,,
2612,2612,2612,2612,2612,2612,248422302,10 41 40.806,+00 26 15.82,1,16.609,,,,10414080+0026158,2141-301-5-0119-0200,STAR,gri,18,3,-21,3,,,,,,,20.387,0.052,17.723,0.005,16.56,0.004,16.131,0.004,15.885,0.007,14.678,0.041,14.104,0.051,13.976,0.072,4232,4.786,-0.338,0.481,0.539,4.531,503.2,0.032
2613,2613,2613,2613,2613,2613,248422322,10 38 03.717,+00 26 18.44,1,17.438,,,,10380371+0026184,2141-301-5-0113-0166,STAR,gri,62,3,-75,3,,,,,,,22.314,0.255,19.568,0.014,18.12,0.007,16.525,0.005,15.695,0.006,14.176,0.029,13.648,0.037,13.325,0.038,3505,5.066,-0.039,0.226,0.216,18.45,140.9,0.022
2614,2614,2614,2614,2614,2614,248422330,10 31 25.237,+00 26 19.58,1,17.509,,,,,2141-301-5-0102-0149,EXTENDED,gri,-3,3,1,3,,,,,,,19.495,0.056,18.138,0.009,17.541,0.008,17.24,0.009,17.045,0.026,,,,,,,,,,,,,,
2615,2615,2615,2615,2615,2615,248422342,10 39 58.321,+00 26 20.94,1,18.082,,,,10395832+0026209,,STAR,J,,,,,,,,,,,,,,,,,,,,,16.54,0.172,15.386,0.124,15.102,0.183,3879,4.921,-0.26,0.346,0.383,8.391,770.4,0.032
2616,2616,2616,2616,2616,2616,248422344,10 36 20.317,+00 26 21.18,1,13.316,,,453-050744,10362031+0026212,,STAR,gri,-7.8,2.5,-6.8,2.9,,,14.696,0.01,13.622,0.03,,,14.129,0.01,13.311,0.02,12.967,0.06,,,11.788,0.024,11.234,0.025,11.085,0.023,4787,2.618,-0.415,6.488,0.943,0.003,1983,0.037
2617,2617,2617,2617,2617,2617,248422378,10 49 45.674,+00 26 26.96,1,17.174,,,,10494567+0026269,6793-301-5-0012-0128,EXTENDED,gri,-4,3,0,3,,,,,,,20.189,0.131,18.176,0.011,17.21,0.007,16.745,0.007,16.359,0.016,16.258,0.126,15.644,0.148,14.852,0.124,,,,,,,,
2618,2618,2618,2618,2618,2618,248422379,10 43 25.027,+00 26 27.07,1,16.967,,,,10432502+0026270,2141-301-5-0122-0233,EXTENDED,gri,-6,3,3,3,,,,,,,19.465,0.075,17.932,0.01,17.003,0.007,16.554,0.007,16.22,0.018,16.204,0.125,15.555,0.149,14.75,0.139,,,,,,,,
2619,2619,2619,2619,2619,2619,248422415,10 31 13.089,+00 26 31.88,1,11.929,,,453-050596,10311309+0026318,,STAR,gri,3.2,1,-0.6,1.7,,,12.922,0.02,12.116,0.03,,,12.452,0.02,11.905,0.06,11.705,0.06,,,10.637,0.026,10.209,0.023,10.092,0.021,5274,2.468,-0.937,9.041,0.896,0.001,1829,0.034
2620,2620,2620,2620,2620,2620,248422427,10 46 05.765,+00 26 34.10,1,16.466,,,,10460576+0026341,2141-301-5-0126-0284,STAR,gri,-58,3,-5,3,,,,,,,20.706,0.074,18.159,0.007,16.745,0.004,15.741,0.004,15.207,0.005,13.949,0.024,13.3,0.033,13.178,0.024,3492,5.052,0.058,0.23,0.218,17.82,131.2,0.018
2621,2621,2621,2621,2621,2621,248422438,10 40 07.104,+00 26 35.09,1,16.541,,,,10400710+0026350,2141-301-5-0116-0192,EXTENDED,gri,-1,3,-1,3,,,,,,,19.852,0.067,17.667,0.006,16.523,0.004,16.059,0.004,15.664,0.008,15.011,0.068,14.32,0.073,13.786,0.076,,,,,,,,
2622,2622,2622,2622,2622,2622,248422440,10 46 31.437,+00 26 35.24,1,18.147,,,,10463143+0026352,,STAR,J,,,,,,,,,,,,,,,,,,,,,16.598,0.154,,,15.158,0.177,,,,,,,,
2623,2623,2623,2623,2623,2623,248422446,10 27 53.075,+00 26 35.62,1,17.882,,,,10275307+0026356,2141-301-5-0096-0110,EXTENDED,gri,0,3,2,3,,,,,,,20.989,0.126,18.962,0.012,17.87,0.007,17.419,0.008,17.065,0.017,16.021,0.095,15.402,0.115,15.06,0.16,,,,,,,,
2624,2624,2624,2624,2624,2624,248422506,10 36 15.639,+00 26 43.88,1,17.894,,,,10361563+0026438,2141-301-5-0110-0143,STAR,gri,-21,3,-63,3,,,,,,,21.716,0.169,19.459,0.013,18.083,0.007,17.223,0.006,16.753,0.01,15.569,0.057,14.919,0.072,14.914,0.131,3657,4.965,0.025,0.309,0.327,10.81,403.8,0.026
2625,2625,2625,2625,2625,2625,248422512,10 46 50.701,+00 26 44.41,1,19.148,,,,10465070+0026444,2141-301-5-0128-0206,STAR,gri,-63,5,3,5,,,,,,,24.706,0.989,21.262,0.048,19.747,0.02,18.242,0.01,17.46,0.016,16.114,0.112,15.46,0.126,14.943,0.135,3106,5.177,0.045,0.155,0.132,35.28,198.8,0.021
2626,2626,2626,2626,2626,2626,248422520,10 40 49.846,+00 26 45.02,1,12.702,,,453-050869,10404984+0026448,,STAR,gri,1.9,2,-6.8,2.6,,,13.86,0.02,12.954,0.01,,,13.378,0.02,12.645,0.06,12.413,0.05,,,11.304,0.026,10.881,0.026,10.758,0.023,5078,3.421,-0.344,3.279,1,0.024,928.4,0.032
2627,2627,2627,2627,2627,2627,248422543,10 31 30.664,+00 26 47.72,1,12.149,,,453-050603,10313066+0026476,,STAR,gri,-25.5,1.1,-6.3,1.6,,,13.016,0.02,12.327,0.04,,,12.6,0.02,12.132,0.06,11.956,0.03,,,10.99,0.024,10.609,0.022,10.556,0.021,5649,4.437,-0.19,0.989,0.943,0.962,286.8,0.032
2628,2628,2628,2628,2628,2628,248422572,10 37 50.448,+00 26 52.19,1,18.202,,,,10375044+0026521,2141-301-5-0113-0214,STAR,gri,-84,4,-51,4,,,,,,,22.431,0.283,20.312,0.022,18.767,0.01,17.298,0.006,16.506,0.009,15.042,0.043,14.457,0.044,14.205,0.069,3140,5.172,0.044,0.158,0.135,34.16,127.3,0.023
2629,2629,2629,2629,2629,2629,248422587,10 31 28.914,+00 26 54.28,1,18.215,,,,10312891+0026542,2141-301-5-0102-0077,EXTENDED,gri,4,3,1,3,,,,,,,21.244,0.207,19.445,0.02,18.195,0.011,17.688,0.011,17.311,0.026,16.528,0.135,,,15.053,0.172,,,,,,,,
2630,2630,2630,2630,2630,2630,248422605,10 35 35.048,+00 26 57.32,1,16.294,,,,10353504+0026573,,STAR,JHK,20,5,-52,4,,,,,,,,,,,,,,,,,14.913,0.047,14.444,0.052,14.371,0.087,3740,4.979,-0.345,0.279,0.296,11.34,289.1,0.029
2631,2631,2631,2631,2631,2631,248422609,10 47 08.628,+00 26 57.66,1,16.075,,,,10470862+0026576,2141-301-5-0128-0147,STAR,gri,-44,3,1,3,,,,,,,20.578,0.061,17.871,0.006,16.416,0.004,15.305,0.004,14.739,0.004,13.394,0.023,12.872,0.025,12.658,0.027,3445,5.052,0.091,0.227,0.211,18.07,97.2,0.018
2632,2632,2632,2632,2632,2632,248422632,10 48 28.833,+00 27 00.50,1,11.328,,254-820-1,453-051059,10482883+0027005,,STAR,gri,-11.5,1.9,6.3,2.1,,,12.651,0.346,11.451,0.144,,,12.125,0.01,11.267,0.05,10.987,0.04,,,9.808,0.023,9.277,0.022,9.17,0.021,4793,2.711,-0.253,6.944,1.11,0.002,932.8,0.034
2633,2633,2633,2633,2633,2633,248422640,10 42 47.059,+00 27 01.43,1,17.492,,,,10424705+0027014,,STAR,J,,,,,,,,,,,,,,,,,,,,,15.997,0.112,15.513,0.13,14.709,0.121,3565,5.026,-0.125,0.232,0.238,14.82,355,0.031
2634,2634,2634,2634,2634,2634,248422650,10 41 59.306,+00 27 02.84,1,18.059,,,,,2141-301-5-0120-0086,EXTENDED,gri,0,3,0,3,,,,,,,19.631,0.054,18.508,0.01,18.14,0.01,17.866,0.013,17.732,0.039,,,,,,,,,,,,,,
2635,2635,2635,2635,2635,2635,248422655,10 29 47.154,+00 27 03.31,1,17.822,,,,10294715+0027033,2141-301-5-0099-0085,EXTENDED,gri,0,3,2,3,,,,,,,20.471,0.112,18.901,0.014,17.831,0.009,17.359,0.009,17.002,0.021,16.292,0.133,15.887,0.154,,,,,,,,,,
2636,2636,2636,2636,2636,2636,248422659,10 29 07.397,+00 27 03.56,1,14.786,,,453-050532,10290741+0027038,2141-301-5-0098-0069,STAR,gri,4.9,2.8,6.4,3.2,,,15.805,0.2,14.996,0.07,,,15.383,0.08,14.751,0.07,14.53,0.04,,,13.513,0.026,13.014,0.022,12.935,0.033,5051,4.51,-0.522,0.866,0.839,1.297,705,0.032
2637,2637,2637,2637,2637,2637,248422666,10 48 20.870,+00 27 04.20,1,18.513,,,,,2141-301-5-0130-0127,EXTENDED,gri,5,4,-7,4,,,,,,,20.98,0.124,19.417,0.017,18.528,0.011,18.125,0.012,17.828,0.032,,,,,,,,,,,,,,
2638,2638,2638,2638,2638,2638,248422713,10 29 30.328,+00 27 11.81,1,18.48,,,,10293032+0027118,2141-301-5-0099-0229,STAR,gri,-66,5,-15,5,,,,,,,22.08,0.21,20.869,0.034,19.266,0.014,17.456,0.007,16.474,0.009,14.949,0.034,14.296,0.041,13.99,0.06,3232,5.165,-0.094,0.164,0.144,31.95,130.6,0.024
2639,2639,2639,2639,2639,2639,248422729,10 48 09.744,+00 27 14.25,1,16.911,,,,,2141-301-5-0130-0087,EXTENDED,gri,0,3,-11,3,,,,,,,18.456,0.04,17.262,0.007,16.943,0.008,16.76,0.012,16.675,0.034,,,,,,,,,,,,,,
2640,2640,2640,2640,2640,2640,248422760,10 43 24.320,+00 27 17.83,1,18.035,,,,10432432+0027178,,STAR,J,8,5,4,1,,,,,,,,,,,,,,,,,16.497,0.167,15.66,0.142,15.053,0.153,3820,4.92,-0.23,0.349,0.383,8.391,750.5,0.032
2641,2641,2641,2641,2641,2641,248422793,10 46 58.653,+00 27 22.98,1,18.326,,,,10465865+0027229,2141-301-5-0128-0442,EXTENDED,gri,-26,4,20,4,,,,,,,21.146,0.219,19.429,0.023,18.414,0.014,17.853,0.014,17.476,0.035,16.797,0.175,16.018,0.194,15.346,0.208,,,,,,,,
2642,2642,2642,2642,2642,2642,248422794,10 30 52.860,+00 27 23.33,1,10.416,,253-987-1,453-050590,10305284+0027233,,STAR,gri,1,2.5,-5,2.5,,,13.143,0.541,10.817,0.093,,,11.923,0.02,10.517,0.04,9.77,0.05,,,7.962,0.032,7.088,0.036,6.808,0.023,3795,1.098,-0.112,49.753,1.071,9.21E-06,1930,0.032
2643,2643,2643,2643,2643,2643,248422809,10 28 52.713,+00 27 25.89,1,16.149,,,,10285271+0027258,2141-301-5-0098-0151,EXTENDED,gri,1,3,-3,3,,,,,,,19.174,0.048,17.195,0.005,16.203,0.004,15.701,0.004,15.299,0.007,15.002,0.077,14.118,0.086,13.591,0.069,,,,,,,,
2644,2644,2644,2644,2644,2644,248422838,10 35 12.761,+00 27 29.01,1,16.272,,,453-050711,10351276+0027288,2141-301-5-0108-0039,STAR,BV,2.1,5.2,-14.1,4.8,,,16.131,0.06,16.147,0.01,,,15.948,0.051,,,,,,,16.453,0.147,,,,,,,,,,,,
2645,2645,2645,2645,2645,2645,248422856,10 41 48.706,+00 27 31.63,1,13.148,,,453-050895,10414870+0027315,,STAR,gri,14.3,2.2,-35.4,2.9,,,14.165,0.01,13.391,0.01,,,13.734,0.01,13.153,0.04,12.897,0.04,,,11.83,0.026,11.364,0.023,11.321,0.023,5297,4.444,-0.724,0.965,0.885,1,401.5,0.028
2646,2646,2646,2646,2646,2646,248422861,10 42 49.344,+00 27 32.18,1,17.044,,,,10424934+0027321,2141-301-5-0121-0143,STAR,gri,-10,3,-93,3,,,,,,,20.988,0.082,18.365,0.007,17.035,0.005,16.478,0.005,16.166,0.007,14.998,0.051,14.55,0.048,14.368,0.087,3922,5.004,-0.481,0.284,0.293,12.94,294.7,0.024
2647,2647,2647,2647,2647,2647,248422864,10 41 10.756,+00 27 32.50,1,18.128,,,,10411075+0027325,,STAR,J,,,,,,,,,,,,,,,,,,,,,16.581,0.157,15.568,0.136,,,,,,,,,,
2648,2648,2648,2648,2648,2648,248422876,10 28 22.633,+00 27 34.16,1,10.761,,246-1133-1,453-050507,10282263+0027340,,STAR,gri,-30.1,1.3,-7.7,1.4,,,11.937,0.159,10.99,0.087,,,11.567,0.03,10.726,0.02,10.416,0.05,,,9.167,0.034,8.642,0.059,8.476,0.021,4805,2.969,-0.251,5.692,1.075,0.007,529.7,0.034
2649,2649,2649,2649,2649,2649,248422880,10 45 50.208,+00 27 34.82,1,15.466,,,,10455020+0027348,2141-301-5-0126-0219,EXTENDED,gri,1,3,2,3,,,,,,,18.568,0.038,16.491,0.004,15.514,0.003,15.027,0.003,14.665,0.006,14.675,0.075,13.975,0.105,13.467,0.077,,,,,,,,
2650,2650,2650,2650,2650,2650,248422908,10 43 39.953,+00 27 38.27,1,19.488,,,,,2141-301-5-0122-0388,EXTENDED,gri,8,4,-9,4,,,,,,,20.623,0.073,19.959,0.02,19.631,0.02,19.286,0.023,19.142,0.073,,,,,,,,,,,,,,
2651,2651,2651,2651,2651,2651,248422913,10 46 53.790,+00 27 39.01,1,17.012,,,,10465379+0027390,,EXTENDED,J,,,,,,,,,,,,,,,,,,,,,15.549,0.099,14.847,0.123,14.308,0.102,,,,,,,,
2652,2652,2652,2652,2652,2652,248422921,10 43 53.931,+00 27 39.70,1,17.94,,,,10435393+0027397,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,15.397,0.082,14.853,0.096,14.406,0.119,3712,4.964,-0.165,0.301,0.306,10.48,361.7,0.03
2653,2653,2653,2653,2653,2653,248422959,10 29 59.696,+00 27 45.05,1,18.334,,,,10295969+0027450,2141-301-5-0100-0184,EXTENDED,gri,1,3,3,3,,,,,,,22.141,0.397,19.661,0.022,18.347,0.011,17.765,0.011,17.372,0.025,16.669,0.166,15.683,0.134,15.054,0.166,,,,,,,,
2654,2654,2654,2654,2654,2654,248422960,10 47 22.185,+00 27 45.20,1,17.929,,,,,2141-301-5-0129-0238,EXTENDED,gri,-6,3,6,3,,,,,,,19.618,0.066,18.453,0.011,18.034,0.011,17.704,0.014,17.593,0.042,,,,,,,,,,,,,,
2655,2655,2655,2655,2655,2655,248423032,10 41 16.684,+00 27 56.03,1,18.016,,,,10411668+0027560,,STAR,J,,,,,,,,,,,,,,,,,,,,,16.48,0.152,15.723,0.191,,,,,,,,,,
2656,2656,2656,2656,2656,2656,248423072,10 47 46.582,+00 28 00.98,1,14.051,,,453-051042,10474657+0028009,,STAR,gri,-9.6,4.1,-7.7,5.5,,,15.3,0.01,14.31,0.01,,,14.745,0.01,14.04,0.01,13.753,0.03,,,12.575,0.024,12.033,0.021,11.968,0.021,4951,2.702,-0.958,6.403,0.894,0.003,3282,0.031
2657,2657,2657,2657,2657,2657,248423080,10 48 50.546,+00 28 02.85,1,15.429,,,453-051069,10485055+0028023,6793-301-5-0011-0104,EXTENDED,JHK,19.8,8.8,50.9,9.2,,,,,,,,,,,,,,,,,13.143,0.033,12.504,0.032,12.274,0.027,,,,,,,,
2658,2658,2658,2658,2658,2658,248423091,10 29 17.937,+00 28 04.58,1,14.234,,,453-050544,10291793+0028046,,STAR,gri,16,2.9,-16.5,3.5,,,15.414,0.05,14.492,0.04,,,14.935,0.04,14.171,0.03,13.933,0.1,,,12.825,0.024,12.323,0.022,12.28,0.023,5042,4.596,-0.158,0.739,0.795,1.921,419.2,0.033
2659,2659,2659,2659,2659,2659,248423102,10 31 03.353,+00 28 06.10,1,18.507,,,,10310335+0028061,2141-301-5-0101-0248,EXTENDED,gri,6,5,-6,5,,,,,,,22.09,0.425,19.913,0.029,18.509,0.013,17.905,0.013,17.545,0.032,16.801,0.181,15.778,0.182,15.04,0.174,,,,,,,,
2660,2660,2660,2660,2660,2660,248423108,10 31 15.978,+00 28 07.27,1,17.209,,,,10311597+0028072,2141-301-5-0102-0126,EXTENDED,gri,-5,3,0,3,,,,,,,19.92,0.093,18.216,0.011,17.214,0.007,16.778,0.008,16.421,0.017,16.302,0.15,15.397,0.149,14.823,0.145,,,,,,,,
2661,2661,2661,2661,2661,2661,248423109,10 43 42.090,+00 28 07.29,1,17.98,,,,,2141-301-5-0122-0294,EXTENDED,gri,0,6,-7,6,,,,,,,19.449,0.049,18.381,0.01,18.056,0.01,17.808,0.013,17.734,0.043,,,,,,,,,,,,,,
2662,2662,2662,2662,2662,2662,248423140,10 28 56.620,+00 28 10.86,1,12.732,,,453-050527,10285663+0028110,,STAR,gri,13.4,1.5,-19.3,1.9,,,13.681,0.04,12.946,0.01,,,13.283,0.03,12.711,0.02,12.495,0.06,,,11.425,0.027,10.967,0.023,10.883,0.019,5306,3.385,-0.879,2.546,0.873,0.028,801.9,0.029
2663,2663,2663,2663,2663,2663,248423144,10 40 37.737,+00 28 11.24,1,18.083,,,,10403773+0028112,2141-301-5-0117-0149,EXTENDED,gri,6,3,3,3,,,,,,,20.588,0.101,18.989,0.013,18.142,0.009,17.694,0.01,17.401,0.024,16.673,0.155,16.018,0.173,15.262,0.175,,,,,,,,
2664,2664,2664,2664,2664,2664,248423167,10 37 49.847,+00 28 13.77,1,17.511,,,,10374984+0028137,2141-301-5-0113-0127,STAR,gri,-7,3,8,3,,,,,,,21.553,0.136,18.737,0.009,17.481,0.005,16.986,0.005,16.712,0.01,15.507,0.063,14.857,0.079,14.845,0.129,4090,4.818,-0.198,0.459,0.513,5.121,666,0.032
2665,2665,2665,2665,2665,2665,248423215,10 26 44.504,+00 28 19.31,1,17.831,,,,10264450+0028193,,STAR,J,,,,,,,,,,,,,,,,,,,,,16.311,0.149,15.612,0.175,14.922,0.144,3689,4.997,-0.21,0.28,0.284,12.77,509.3,0.032
2666,2666,2666,2666,2666,2666,248423240,10 28 19.301,+00 28 23.37,1,17.213,,,,10281930+0028233,2141-301-5-0097-0162,EXTENDED,gri,5,3,-4,3,,,,,,,19.989,0.086,18.159,0.009,17.239,0.007,16.807,0.007,16.498,0.016,16.087,0.137,15.582,0.137,14.876,0.165,,,,,,,,
2667,2667,2667,2667,2667,2667,248423284,10 46 59.410,+00 28 29.25,1,17.973,,,,10465941+0028292,2141-301-5-0128-0194,EXTENDED,gri,-8,3,-5,3,,,,,,,21.049,0.169,19.061,0.015,18.049,0.009,17.507,0.009,17.085,0.021,16.142,0.097,15.613,0.151,15.191,0.168,,,,,,,,
2668,2668,2668,2668,2668,2668,248423296,10 31 35.164,+00 28 31.34,1,13.476,,,,10313516+0028313,2141-301-5-0102-0184,EXTENDED,gri,-4,4,6,4,,,,,,,16.028,0.011,14.353,0.002,13.529,0.002,13.1,0.002,12.782,0.003,14.128,0.094,13.365,0.12,12.761,0.073,,,,,,,,
2669,2669,2669,2669,2669,2669,248423298,10 31 55.990,+00 28 31.54,1,9.918,51559,253-974-1,453-050610,10315598+0028315,,STAR,gri,-19.22,2.38,-12.47,2.36,7.5,2.07,10.388,0.039,9.859,0.034,,,10.192,0.12,9.852,0.03,9.8,0.06,,,9.049,0.03,8.83,0.042,8.813,0.023,6239,4.256,-0.06,1.295,1.185,0.493,133.3,0.025
2670,2670,2670,2670,2670,2670,248423305,10 55 23.689,+00 28 31.99,1,18.398,,,,,6793-301-5-0022-0269,EXTENDED,gri,-1,3,-1,3,,,,,,,19.707,0.083,18.794,0.022,18.423,0.02,18.228,0.025,18.196,0.075,,,,,,,,,,,,,,
2671,2671,2671,2671,2671,2671,248423323,10 49 15.576,+00 28 34.30,1,17.513,,,,10491557+0028343,6793-301-5-0011-0159,STAR,gri,-17,4,-63,4,,,,,,,22.356,0.254,19.885,0.016,18.314,0.008,16.496,0.005,15.524,0.006,13.911,0.03,13.339,0.023,12.956,0.029,3333,5.138,-0.109,0.177,0.156,28.28,89.72,0.02
2672,2672,2672,2672,2672,2672,248423324,10 29 59.404,+00 28 34.40,1,11.844,,,453-050569,10295940+0028343,,STAR,gri,-11,1,5.4,1.4,,,12.883,0.03,12.048,0.05,,,12.405,0.03,11.793,0.03,11.603,0.09,,,10.436,0.023,9.988,0.022,9.897,0.021,5189,2.456,-0.857,9.107,0.904,0.001,1656,0.032
2673,2673,2673,2673,2673,2673,248423364,10 37 45.128,+00 28 39.21,1,17.902,,,,,2141-301-5-0113-0259,EXTENDED,gri,-2,3,10,3,,,,,,,19.242,0.065,18.283,0.015,17.918,0.015,17.738,0.02,17.699,0.069,,,,,,,,,,,,,,
2674,2674,2674,2674,2674,2674,248423374,10 47 52.164,+00 28 41.57,1,18.023,,,,10475216+0028415,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,16.152,0.122,15.234,0.124,15.408,0.214,4096,4.838,-0.31,0.416,0.482,5.506,793.8,0.032
2675,2675,2675,2675,2675,2675,248423404,10 39 46.038,+00 28 45.83,1,14.753,,,453-050842,10394604+0028457,2141-301-5-0116-0038,STAR,gri,-9.2,3.5,-0.3,4,,,15.985,0.05,15.01,0.01,,,15.467,0.01,14.697,0.01,14.447,0.04,,,13.209,0.021,12.72,0.027,12.629,0.029,5020,4.591,-0.179,0.756,0.829,1.814,516.9,0.036
2676,2676,2676,2676,2676,2676,248423410,10 42 08.372,+00 28 46.40,1,14.42,,,453-050904,10420837+0028463,,STAR,gri,18.2,3.3,-89.3,3.6,,,16.648,0.06,15.153,0.03,,,15.978,0.02,14.57,0.03,13.752,0.1,,,12.401,0.024,11.733,0.023,11.564,0.021,3729,4.942,0.01,0.328,0.358,9.479,104.3,0.027
2677,2677,2677,2677,2677,2677,248423422,10 42 07.987,+00 28 47.74,1,15.414,,,,10420798+0028477,,STAR,JHK,9.2,9,-82.5,9,,,,,,,,,,,,,,,,,13.471,0.029,12.882,0.039,12.705,0.031,3766,4.947,-0.114,0.326,0.351,9.767,167.4,0.025
2678,2678,2678,2678,2678,2678,248423431,10 43 20.836,+00 28 48.56,1,13.942,,,453-050930,10432083+0028485,,STAR,gri,-7.2,3.2,-1.1,3.7,,,15.196,0.05,14.231,0.02,,,14.69,0.01,13.887,0.04,13.621,0.03,,,12.55,0.026,12.082,0.023,12.023,0.031,4955,3.929,-0.145,2.082,0.896,0.098,1002,0.029
2679,2679,2679,2679,2679,2679,248423455,10 35 48.984,+00 28 52.65,1,16.498,,,453-050724,10354901+0028528,,STAR,BV,-10.3,8.8,-10.7,9.4,,,16.999,0.01,16.549,0.13,,,16.768,0.01,,,,,,,16.044,0.102,15.631,0.145,15.264,0.203,4113,4.833,-0.39,0.431,0.48,5.92,771.5,0.033
2680,2680,2680,2680,2680,2680,248423481,10 51 18.820,+00 28 55.34,1,18.967,,,,,6793-301-5-0015-0271,EXTENDED,gri,-7,3,-2,3,,,,,,,20.503,0.098,19.487,0.018,19.034,0.017,18.744,0.021,18.485,0.055,,,,,,,,,,,,,,
2681,2681,2681,2681,2681,2681,248423489,10 28 39.948,+00 28 55.75,1,12.52,,,453-050515,10283994+0028558,,STAR,gri,-5.2,1.3,9.3,1.8,,,13.529,0.04,12.727,0.02,,,13.094,0.02,12.495,0.02,12.274,0.02,,,11.248,0.024,10.774,0.026,10.726,0.023,5202,2.536,-0.984,7.98,0.893,0.001,2041,0.035
2682,2682,2682,2682,2682,2682,248423495,10 50 47.528,+00 28 56.78,1,17.635,,,,,6793-301-5-0014-0165,EXTENDED,gri,-1,3,-3,3,,,,,,,19.957,0.082,18.406,0.011,17.667,0.008,17.305,0.009,17.029,0.023,,,,,,,,,,,,,,
2683,2683,2683,2683,2683,2683,248423501,10 49 29.687,+00 28 57.37,1,15.814,,,453-051082,10492969+0028573,6793-301-5-0012-0069,STAR,JHK,-42.6,6.7,36.8,6.7,,,,,,,,,,,,,,,,,13.556,0.024,12.974,0.029,12.696,0.027,3589,5.027,0.024,0.251,0.246,14.46,127.7,0.023
2684,2684,2684,2684,2684,2684,248423518,10 39 40.025,+00 29 00.33,1,11.203,,253-551-1,453-050838,10394002+0029002,,STAR,gri,14.7,1.3,-6.9,1.3,,,11.431,0.08,11.122,0.093,,,11.224,0.03,11.196,0.03,11.238,0.03,,,10.622,0.022,10.546,0.023,10.473,0.021,7527,4.119,-0.075,1.79,1.639,0.25,570.3,0.031
2685,2685,2685,2685,2685,2685,248423526,10 35 56.656,+00 29 01.63,1,12.492,,,453-050731,10355665+0029017,,STAR,gri,14.1,1.9,-3.2,2.5,,,13.025,0.02,12.527,0.02,,,12.701,0.02,12.422,0.01,12.284,0.03,,,11.508,0.022,11.222,0.026,11.189,0.026,6254,4.161,-0.556,1.33,0.975,0.379,530.8,0.031
2686,2686,2686,2686,2686,2686,248423544,10 29 48.941,+00 29 03.70,1,17.537,,,,10294894+0029036,,STAR,J,,,,,,,,,,,,,,,,,,,,,16.039,0.114,15.46,0.147,14.799,0.133,3654,4.997,-0.165,0.264,0.273,13.12,439.8,0.031
2687,2687,2687,2687,2687,2687,248423558,10 26 53.248,+00 29 05.44,1,17.984,,,,10265324+0029054,2141-301-5-0094-0265,EXTENDED,gri,-4,3,4,3,,,,,,,20.651,0.123,19.117,0.015,18.022,0.009,17.498,0.009,17.139,0.023,16.483,0.143,15.683,0.15,14.825,0.141,,,,,,,,
2688,2688,2688,2688,2688,2688,248423565,10 39 47.555,+00 29 06.60,1,16.998,,,,10394755+0029066,2141-301-5-0116-0142,EXTENDED,gri,3,3,-3,3,,,,,,,19.937,0.081,18.031,0.009,17.014,0.006,16.555,0.006,16.191,0.013,15.866,0.116,15.042,0.111,14.53,0.114,,,,,,,,
2689,2689,2689,2689,2689,2689,248423610,10 37 01.702,+00 29 12.95,1,18.69,,,,,2141-301-5-0111-0117,EXTENDED,gri,,,,,,,,,,,19.731,0.07,18.768,0.014,18.664,0.018,18.649,0.029,18.42,0.084,,,,,,,,,,,,,,
